symbol,entry_ts,exit_ts,entry,exit,why,pnl,rise_pct,rise_bars,retrace_bars,qv24h,taker_buy_60,vol60_bp,n_legs,entry_at
BTWUSDT,1782004740000,1782004920000,0.12743,0.12008857002181673,TP,11.3023,10.4,17,74,742208983.931601,0.4856,85.93,5,2026-06-21 01:19:00
BTRUSDT,1782009480000,1782011280000,0.02271,0.02274,TIME,-0.4842,7.93,8,23,4100462.6010400006,0.5003,106.86,3,2026-06-21 02:38:00
BTWUSDT,1782009900000,1782010680000,0.13922,0.13235804903611353,TP,9.6377,8.79,8,11,766627511.234918,0.5124,117.39,7,2026-06-21 02:45:00
BTWUSDT,1782010800000,1782010980000,0.12866,0.1223429844742406,TP,9.5997,8.75,15,45,774609524.3834019,0.4959,133.81,7,2026-06-21 03:00:00
BTWUSDT,1782012420000,1782013140000,0.12389,0.11580079690435255,TP,12.8387,11.91,9,14,785943741.989979,0.4892,176.6,7,2026-06-21 03:27:00
CLOUSDT,1782014040000,1782015840000,0.21543,0.21003,TIME,4.7932,16.22,19,69,64905148.69285,0.487,118.7,3,2026-06-21 03:54:00
CLOUSDT,1782020700000,1782020940000,0.19132,0.19950424444444445,SL,-8.7756,17.56,20,26,68423323.39047,0.512,150.34,3,2026-06-21 05:45:00
ACEUSDT,1782021240000,1782022680000,0.10165,0.09748432519598292,TP,7.9761,7.22,9,32,25633021.482735,0.4871,117.34,3,2026-06-21 05:54:00
BTRUSDT,1782023160000,1782024960000,0.02546,0.02496,TIME,3.7077,10.78,26,42,22148010.59437,0.4773,77.77,5,2026-06-21 06:26:00
BTWUSDT,1782026880000,1782027120000,0.09559,0.0916608728967431,TP,8.0008,7.25,10,18,812870205.049115,0.5023,101.65,6,2026-06-21 07:28:00
BTWUSDT,1782027180000,1782028980000,0.09172,0.09263,TIME,-2.2043,10.18,14,47,815167247.803642,0.499,104.27,6,2026-06-21 07:33:00
DYMUSDT,1782028920000,1782030720000,0.01865,0.01856,TIME,0.7451,11.24,15,54,12075202.758556,0.47,100.33,1,2026-06-21 08:02:00
