symbol,entry_ts,exit_ts,entry,exit,why,pnl,rise_pct,entry_at
RESOLVUSDT,1749571560000,1749571680000,0.29898,0.31176970000000004,SL,-8.7756,11.09,2025-06-10 16:06:00
RESOLVUSDT,1749580260000,1749582000000,0.34361,0.35830887222222224,SL,-8.7756,11.19,2025-06-10 18:31:00
HOMEUSDT,1749590100000,1749590220000,0.031349,0.029927958548605818,TP,8.8459,8.04,2025-06-10 21:15:00
RESOLVUSDT,1749604680000,1749606240000,0.33154,0.31764275496566474,TP,8.1634,7.4,2025-06-11 01:18:00
HOMEUSDT,1749604980000,1749606480000,0.03055,0.02908183676779874,TP,9.3915,8.55,2025-06-11 01:23:00
IOSTUSDT,1749628920000,1749630720000,0.004161,0.004176,TIME,-0.941,7.32,2025-06-11 08:02:00
HOMEUSDT,1749832380000,1749834180000,0.0263,0.026483,TIME,-1.6116,7.01,2025-06-13 16:33:00
SPXUSDT,1749836820000,1749838620000,1.3986,1.3749,TIME,3.1691,7.59,2025-06-13 17:47:00
COMPUSDT,1749863460000,1749865260000,52.67,53.22,TIME,-2.3085,7.57,2025-06-14 01:11:00
ZKJUSDT,1749993900000,1749993960000,1.102,1.0573132153622085,TP,7.8901,7.14,2025-06-15 13:25:00
ZKJUSDT,1749996480000,1749996540000,0.318,0.33160333333333336,SL,-8.7756,15.03,2025-06-15 14:08:00
ZKJUSDT,1749997320000,1749997380000,0.273,0.25589384293975764,TP,12.312,11.39,2025-06-15 14:22:00
ZKJUSDT,1749999600000,1749999660000,0.359,0.37435722222222223,SL,-8.7756,15.95,2025-06-15 15:00:00
ZKJUSDT,1750001340000,1750001460000,0.393,0.4098116666666667,SL,-8.7756,18.78,2025-06-15 15:29:00
ZKJUSDT,1750003260000,1750005060000,0.3887,0.3697,TIME,9.5562,13.16,2025-06-15 16:01:00
ZKJUSDT,1750005300000,1750005540000,0.3517,0.32861955681607363,TP,12.9051,11.98,2025-06-15 16:35:00
ZKJUSDT,1750024380000,1750025940000,0.3138,0.3272236666666667,SL,-8.7756,9.72,2025-06-15 21:53:00
ZKJUSDT,1750044060000,1750045860000,0.3393,0.3339,TIME,2.963,9.02,2025-06-16 03:21:00
AIOTUSDT,1750064400000,1750064940000,0.15715,0.14832444908278722,TP,11.012,10.11,2025-06-16 09:00:00
AIOTUSDT,1750065060000,1750066860000,0.14606,0.14896,TIME,-4.191,11.72,2025-06-16 09:11:00
ZKJUSDT,1750071660000,1750072800000,0.3875,0.4040763888888889,SL,-8.7756,14.32,2025-06-16 11:01:00
ZKJUSDT,1750076220000,1750076280000,0.3794,0.36239691401766366,TP,8.7431,7.94,2025-06-16 12:17:00
ZKJUSDT,1750119960000,1750120500000,0.5662,0.5904207777777778,SL,-8.7756,13.71,2025-06-17 00:26:00
ZKJUSDT,1750122900000,1750123020000,0.5577,0.5244840540292789,TP,11.6918,10.78,2025-06-17 01:15:00
ZKJUSDT,1750123080000,1750124220000,0.5308,0.44150386638949124,TP,33.4259,35.93,2025-06-17 01:18:00
ZKJUSDT,1750126380000,1750128180000,0.4214,0.4292,TIME,-3.9219,7.09,2025-06-17 02:13:00
ZKJUSDT,1750131180000,1750132980000,0.4196,0.4191,TIME,0.0183,9.37,2025-06-17 03:33:00
SPKUSDT,1750155600000,1750156020000,0.05803,0.060512394444444444,SL,-8.7756,15.58,2025-06-17 10:20:00
SPKUSDT,1750164060000,1750165860000,0.0569,0.05478,TIME,7.2317,7.66,2025-06-17 12:41:00
MYXUSDT,1750258980000,1750260000000,0.06087,0.06347388333333334,SL,-8.7756,7.25,2025-06-18 15:03:00
NEWTUSDT,1750348200000,1750350000000,0.2306,0.2327,TIME,-2.0413,7.55,2025-06-19 15:50:00
EPICUSDT,1750353720000,1750355520000,0.9656,0.9894,TIME,-5.1496,7.38,2025-06-19 17:22:00
SXPUSDT,1750353960000,1750355760000,0.1621,0.1646,TIME,-3.3045,12.56,2025-06-19 17:26:00
FUNUSDT,1750367880000,1750369680000,0.005101,0.005148,TIME,-2.0628,9.59,2025-06-19 21:18:00
BIDUSDT,1750406460000,1750408260000,0.1002,0.10187,TIME,-3.5533,14.7,2025-06-20 08:01:00
FUNUSDT,1750418460000,1750420260000,0.004784,0.004853,TIME,-3.1046,7.1,2025-06-20 11:21:00
GPSUSDT,1750423020000,1750424520000,0.02773,0.02891622777777778,SL,-8.7756,10.85,2025-06-20 12:37:00
SIRENUSDT,1750479180000,1750479300000,0.05889,0.06140918333333333,SL,-8.7756,10.09,2025-06-21 04:13:00
SIRENUSDT,1750482000000,1750482360000,0.06095,0.06355730555555555,SL,-8.7756,12.94,2025-06-21 05:00:00
SIRENUSDT,1750485900000,1750487700000,0.05529,0.05515,TIME,0.2864,11.67,2025-06-21 06:05:00
MYXUSDT,1750513860000,1750514760000,0.06189,0.0589918826481826,TP,9.1454,8.32,2025-06-21 13:51:00
SIRENUSDT,1750524180000,1750524900000,0.04958,0.05170092222222222,SL,-8.7756,9.19,2025-06-21 16:43:00
AEROUSDT,1750557480000,1750559280000,0.7611,0.7625,TIME,-0.5879,7.37,2025-06-22 01:58:00
NEWTUSDT,1750635300000,1750637100000,0.3168,0.3228,TIME,-4.0079,15.56,2025-06-22 23:35:00
NEWTUSDT,1750643400000,1750645200000,0.324,0.3297,TIME,-3.7385,9.96,2025-06-23 01:50:00
PROMUSDT,1750645620000,1750645920000,3.389,3.5339738888888887,SL,-8.7756,19.53,2025-06-23 02:27:00
BIDUSDT,1750655700000,1750656960000,0.10063,0.09195445684464697,TP,17.0225,16.21,2025-06-23 05:15:00
BIDUSDT,1750657020000,1750657740000,0.09469,0.09874062777777777,SL,-8.7756,29.45,2025-06-23 05:37:00
MYXUSDT,1750657200000,1750657680000,0.08884,0.09264037777777778,SL,-8.7756,9.64,2025-06-23 05:40:00
OBOLUSDT,1750667220000,1750668600000,0.14392,0.15007657777777778,SL,-8.7756,7.17,2025-06-23 08:27:00
MYXUSDT,1750677180000,1750678980000,0.08675,0.08749,TIME,-1.9261,7.15,2025-06-23 11:13:00
LQTYUSDT,1750715280000,1750717080000,1.3234,1.3287,TIME,-1.021,7.19,2025-06-23 21:48:00
HIPPOUSDT,1750727520000,1750729320000,0.001733,0.001692,TIME,4.5117,9.69,2025-06-24 01:12:00
BROCCOLIF3BUSDT,1750727580000,1750727880000,0.009157,0.008774049210045654,TP,8.1441,7.38,2025-06-24 01:13:00
HIFIUSDT,1750735800000,1750736220000,0.1061,0.11063872222222222,SL,-8.7756,17.98,2025-06-24 03:30:00
HIFIUSDT,1750747020000,1750748820000,0.1107,0.1125,TIME,-3.472,7.2,2025-06-24 06:37:00
IPUSDT,1750752960000,1750754760000,3.15927,3.10541,TIME,3.1896,8.06,2025-06-24 08:16:00
BROCCOLIF3BUSDT,1750761240000,1750761780000,0.00907,0.008669685031509477,TP,8.6072,7.81,2025-06-24 10:34:00
NEWTUSDT,1750771140000,1750771800000,0.4146,0.43233566666666673,SL,-8.7756,8.37,2025-06-24 13:19:00
DMCUSDT,1750778580000,1750778640000,0.005862,0.006112763333333333,SL,-8.7756,8.52,2025-06-24 15:23:00
DMCUSDT,1750779960000,1750780200000,0.005844,0.006093993333333334,SL,-8.7756,11.55,2025-06-24 15:46:00
DMCUSDT,1750781040000,1750781100000,0.005816,0.0055793174852358084,TP,7.919,7.17,2025-06-24 16:04:00
NEWTUSDT,1750784880000,1750786560000,0.5629,0.5869796111111111,SL,-8.7756,7.6,2025-06-24 17:08:00
DMCUSDT,1750790700000,1750792200000,0.007683,0.007347482303922032,TP,8.514,7.73,2025-06-24 18:45:00
DMCUSDT,1750813380000,1750813560000,0.00747,0.00778955,SL,-8.7756,9.92,2025-06-25 01:03:00
NEWTUSDT,1750814280000,1750815120000,0.5182,0.4939976284442618,TP,9.1209,8.3,2025-06-25 01:18:00
DMCUSDT,1750818420000,1750818780000,0.007392,0.007072470532906604,TP,8.4253,7.64,2025-06-25 02:27:00
BANANAS31USDT,1750825500000,1750826340000,0.015255,0.014501985449391571,TP,9.6524,8.8,2025-06-25 04:25:00
BANANAS31USDT,1750826820000,1750828020000,0.014342,0.01495551888888889,SL,-8.7756,10.79,2025-06-25 04:47:00
DMCUSDT,1750850580000,1750851060000,0.005439,0.0056716683333333335,SL,-8.7756,11.38,2025-06-25 11:23:00
GPSUSDT,1750857060000,1750857240000,0.03464,0.03310774946432691,TP,8.6267,7.83,2025-06-25 13:11:00
HUSDT,1750861920000,1750862760000,0.04797,0.05002205,SL,-8.7756,8.74,2025-06-25 14:32:00
