feat,p_mw,med_win,med_loss,rho,p_rho,q_mw,q_rho
force|watch_max,0.33467974706189485,0.0241304286020651,0.0213797450675582,0.01869404475600579,0.7079474479669726,0.9832415517135147,0.998188017608607
sma50_dev|retr_mean,0.3368189958818475,0.0349650406027495,-0.1289863100769305,0.03255961659027772,0.5140235531249103,0.9832415517135147,0.998188017608607
vol_z60|watch_slope,0.3376771521040245,-0.0020587874345814,-0.0009018471235048,-0.08013314151928011,0.10777982366903192,0.9832415517135147,0.998188017608607
vol_z60|watch_mean,0.33853671186027856,0.2170475333457887,0.1902856915004018,0.04711364436691808,0.3448820390062584,0.9832415517135147,0.998188017608607
sma10_dev|top_val,0.3393973013997683,2.7391732442335397,2.547509652926072,0.017958013163391445,0.7189501710138287,0.9832415517135147,0.998188017608607
range_pct|retr_mean,0.33982868266858857,1.517896668862729,1.6163672816438006,-0.0765427245784959,0.1245440661732784,0.9832415517135147,0.998188017608607
macd|retr_mean,0.34026004114340314,0.1250424071139089,0.0216899477713199,0.015846315814377135,0.7508338476739349,0.9832415517135147,0.998188017608607
stoch_d|watch_slope,0.34155622079038117,-0.1720172188818761,-0.1463244252049893,-0.04999595079441773,0.3161410298654483,0.9832415517135147,0.998188017608607
kama_dev|watch_min,0.34328936906795515,-4.375069909117846,-4.468164181147449,0.10081320787165564,0.04284642148705584,0.9832415517135147,0.998188017608607
rsi7|watch_max,0.3437235324943346,92.64350833888824,91.87314004259122,-0.008639639811789284,0.8625572790916024,0.9832415517135147,0.998188017608607
zscore60|top_val,0.3441580463995416,2.2556409623504328,2.3327775388177883,0.010852052947230207,0.8278544598018746,0.9832415517135147,0.998188017608607
sma5_dev|pump_mean,0.34437525916069245,0.3238248194459696,0.312615329505317,0.02498870316728231,0.6165198637989616,0.9832415517135147,0.998188017608607
bb_pctb|entry_m_top,0.34459291075065623,-1.0123949062344964,-0.9987991102374256,0.01942180984020652,0.6971276871747373,0.9832415517135147,0.998188017608607
zscore20|entry_m_top,0.34459291075065623,-3.947041977027376,-3.894035680703743,0.01942180984020652,0.6971276871747373,0.9832415517135147,0.998188017608607
ema50_dev|pump_mean,0.3467724880051124,1.9631686918324984,1.8560138994105289,0.018508782226444316,0.7107112753033755,0.9832415517135147,0.998188017608607
ppo|retr_mean,0.3489608211607309,0.1342439518557625,0.0417095460269338,0.015509276320518734,0.7559637736525873,0.9832415517135147,0.998188017608607
s|range_pos,0.34961900588762407,32.695507487520736,29.437952142459597,0.045594238917426234,0.36068072015615593,0.9832415517135147,0.998188017608607
rsi28|at_entry,0.35203918844235305,39.20787963891489,38.77693576848328,0.06633308492139536,0.1833162956930479,0.9832415517135147,0.998188017608607
roc3|pump_mean,0.35314240904620187,0.4939756976512614,0.4755427484852745,0.025717023837196967,0.6062809299035494,0.9832415517135147,0.998188017608607
obv_slope20|watch_max,0.35336329793385635,0.7354618281606277,0.7389091713685142,-0.0034675790278272376,0.9446061756970745,0.9832415517135147,0.9987867265208704
cci|retr_mean,0.35469143014680815,-41.149880589158776,-42.867558934235134,0.06825268134753922,0.17093416263994907,0.9832415517135147,0.998188017608607
rsi7|retr_mean,0.3569112430452672,43.40303457989111,43.36281750873419,0.0606365351175316,0.2239383728179962,0.9832415517135147,0.998188017608607
zscore20|retr_mean,0.3569112430452672,-0.4906537233607784,-0.5062946349765729,0.06981248993385691,0.1613411498265967,0.9832415517135147,0.998188017608607
bb_pctb|retr_mean,0.3569112430452672,0.374149974656388,0.3701381644898059,0.06981248993385691,0.1613411498265967,0.9832415517135147,0.998188017608607
tk_buy15|top_val,0.35743270751887146,51.78317714433062,51.58377830793228,0.04415012042686491,0.40230226883944104,0.9832415517135147,0.998188017608607
ema5_dev|retr_mean,0.35824732224617284,-0.3244211689235535,-0.4058942482025859,0.08265365825250845,0.09711375522941874,0.9832415517135147,0.998188017608607
range_pct|pump_mean,0.3593627719823279,1.1244924749150638,1.171632221017342,-0.02890070266962809,0.5624420579319331,0.9832415517135147,0.998188017608607
roc10|watch_max,0.3595860625162629,8.691947166595654,8.347750865051893,0.0351738917154166,0.4808014742337328,0.9832415517135147,0.998188017608607
roc10|pump_mean,0.3613767290510038,1.3236291374841305,1.258678902496285,0.031754801781022114,0.5244854432335734,0.9832415517135147,0.998188017608607
hv60|top_val,0.36272334166504394,0.8280141885314486,0.8791823149316964,-0.031004829567483714,0.5343313162622638,0.9832415517135147,0.998188017608607
vwap_dev|entry_m_top,0.36272360368750267,-9.962209060252071,-10.47729882081504,0.07458472894435846,0.13450398206802985,0.9832415517135147,0.998188017608607
up_dn_vol20|watch_max,0.36723430622193776,6.560345586777549,6.660169491525424,-0.004975522757468074,0.9205844707029087,0.9832415517135147,0.998188017608607
hv10|top_val,0.36814084259637025,1.0724665222278824,1.0394224596588364,0.08272386684276183,0.09682915062610244,0.9832415517135147,0.998188017608607
zscore60|watch_mean,0.3713245211874008,0.6313464642911343,0.5863875733254027,0.017243792203868857,0.7296826492648932,0.9832415517135147,0.998188017608607
rsi28|watch_mean,0.3722371841662969,55.09804987639252,54.55166445425859,0.002650637272163941,0.9576425386826881,0.9832415517135147,0.9987867265208704
vpt_slope|watch_min,0.3747538206290044,-0.0155667460434187,-0.0164038697330246,0.058508333453156876,0.2406496593588503,0.9832415517135147,0.998188017608607
force|top_val,0.37590172168300784,0.0074717157397201,0.0069343292514258,0.008282035813176023,0.8681932194362416,0.9832415517135147,0.998188017608607
vwap_dev|watch_mean,0.3768213246692579,1.7498103407248375,1.8674953192479984,0.0006191189838586836,0.9901020324029179,0.9832415517135147,0.9987867265208704
tk_buy15|watch_mean,0.37691378923921215,50.410116181443435,50.2431578635285,0.0648312773888947,0.21849946094400644,0.9832415517135147,0.998188017608607
sma20_dev|watch_max,0.3770510513114157,6.805916838141091,6.516927862184452,0.03681140359139675,0.4606009816461081,0.9832415517135147,0.998188017608607
bb_pctb|at_entry,0.38422800447724015,-0.0470424837264547,-0.0406522545925659,0.0009383237744783577,0.9849993446196769,0.9832415517135147,0.9987867265208704
zscore20|at_entry,0.38422800447724015,-2.1327642224711707,-2.1078505329449286,0.0009383237744783577,0.9849993446196769,0.9832415517135147,0.9987867265208704
vol_ratio20|at_entry,0.3846938606764214,2.0059025431076574,1.9369439692844608,-0.008465296488292336,0.8653041269811272,0.9832415517135147,0.998188017608607
range_ratio20|watch_max,0.3856261115605881,4.76707253376718,4.505605700946952,-0.018377679991140015,0.7126694104964967,0.9832415517135147,0.998188017608607
